date,value
2020-11-19 13:00,187
2020-11-19 13:10,182
2020-11-19 13:20,191
2020-11-19 13:30,193
2020-11-19 13:40,197
2020-11-19 13:50,205
2020-11-19 14:00,197
2020-11-19 14:10,196
2020-11-19 14:20,197
2020-11-19 14:30,192
2020-11-19 14:40,192
2020-11-19 14:50,195
2020-11-19 15:00,196
2020-11-19 15:10,196
2020-11-19 15:20,195
2020-11-19 15:30,199
2020-11-19 15:40,190
2020-11-19 15:50,187
2020-11-19 16:00,190
2020-11-19 16:10,181
2020-11-19 16:20,178
2020-11-19 16:30,181
2020-11-19 16:40,151
2020-11-19 16:50,142
2020-11-19 17:00,141
2020-11-19 17:10,139
2020-11-19 17:20,128
2020-11-19 17:30,114
2020-11-19 17:40,100
2020-11-19 17:50,99
2020-11-19 18:00,94
2020-11-19 18:10,92
2020-11-19 18:20,90
2020-11-19 18:30,95
2020-11-19 18:40,88
2020-11-19 18:50,92
2020-11-19 19:00,95
2020-11-19 19:10,89
2020-11-19 19:20,82
2020-11-19 19:30,84
2020-11-19 19:40,80
2020-11-19 19:50,78
2020-11-19 20:00,85
2020-11-19 20:10,80
2020-11-19 20:20,76
2020-11-19 20:30,74
2020-11-19 20:40,73
2020-11-19 20:50,69
2020-11-19 21:00,70
2020-11-19 21:10,66
2020-11-19 21:20,64
2020-11-19 21:30,63
2020-11-19 21:40,57
2020-11-19 21:50,57
2020-11-19 22:00,58
2020-11-19 22:10,57
2020-11-19 22:20,55
2020-11-19 22:30,56
2020-11-19 22:40,54
2020-11-19 22:50,52
2020-11-19 23:00,49
2020-11-19 23:10,42
2020-11-19 23:20,46
2020-11-19 23:30,36
2020-11-19 23:40,35
2020-11-19 23:50,33
2020-11-20 00:00,33
2020-11-20 00:10,32
2020-11-20 00:20,36
2020-11-20 00:30,33
2020-11-20 00:40,34
2020-11-20 00:50,33
2020-11-20 01:00,31
2020-11-20 01:10,31
2020-11-20 01:20,29
2020-11-20 01:30,28
2020-11-20 01:40,27
2020-11-20 01:50,28
2020-11-20 02:00,29
2020-11-20 02:10,27
2020-11-20 02:20,28
2020-11-20 02:30,32
2020-11-20 02:40,31
2020-11-20 02:50,30
2020-11-20 03:00,30
2020-11-20 03:10,27
2020-11-20 03:20,29
2020-11-20 03:30,26
2020-11-20 03:40,29
2020-11-20 03:50,26
2020-11-20 04:00,29
2020-11-20 04:10,29
2020-11-20 04:20,30
2020-11-20 04:30,31
2020-11-20 04:40,31
2020-11-20 04:50,26
2020-11-20 05:00,30
2020-11-20 05:10,30
2020-11-20 05:20,33
2020-11-20 05:30,34
2020-11-20 05:40,30
2020-11-20 05:50,31
2020-11-20 06:00,33
2020-11-20 06:10,38
2020-11-20 06:20,40
2020-11-20 06:30,41
2020-11-20 06:40,37
2020-11-20 06:50,42
